Estado;Cidade;Bairro;Área;Terreno;Dormitório;Banheiro;Vaga;Útil;Suíte;Preço
 RS; Venâncio Aires ;-;109,00;;2;1;1;;;350.000
 RS; Venâncio Aires ;Travessa;;;1;1;2;61,00;;350.000
 RS; Venâncio Aires ;Cidade Alta;;;2;2;1;;1;360.000
 RS; Venâncio Aires ;Centro;;;2;1;2;;;370.000
 RS; Venâncio Aires ;Parque do Chimarrão;;363,00;3;2;2;;;380.000
 RS; Venâncio Aires ;Parque do Chimarrão;;;3;2;4;;1;395.000
 RS; Venâncio Aires ;Morsch;;637,00;3;2;3;;;415.000
 RS; Venâncio Aires ;Centro;1.265,00;1.265,00;;;;;;425.000
 RS; Venâncio Aires ;Parque do Chimarrão;;;3;3;2;;1;425.000
 RS; Venâncio Aires ;Parque do Chimarrão;;;3;3;2;;1;425.000
 RS; Venâncio Aires ;Xangrilá;146,00;;2;2;1;;;450.000
 RS; Venâncio Aires ;Parque do Chimarrão;;;3;2;2;;1;450.000
 RS; Venâncio Aires ;Cidade Alta;;;3;2;1;;1;472.936
 RS; Venâncio Aires ;Cruzeiro;;;2;2;5;;1;480.000
 RS; Venâncio Aires ;Cidade Alta;726,00;;;;;;;490.000
 RS; Venâncio Aires ;Centro;;;3;2;2;;1;490.000
 RS; Venâncio Aires ;Cidade Alta;;;3;2;1;;1;505.000
 RS; Venâncio Aires ;Centro;160,00;;;2;1;;;510.000
 RS; Venâncio Aires ;Centro;;;3;4;1;;2;525.000
 RS; Venâncio Aires ;Centro;;;4;2;1;;1;570.000
 RS; Venâncio Aires ;Centro;;;3;2;2;;1;575.000
 RS; Venâncio Aires ;Centro;;;3;2;2;;1;575.000
 RS; Venâncio Aires ;Morsch;;;3;1;4;185,07;;580.000
 RS; Venâncio Aires ;Centro;;;3;2;2;;1;580.000
 RS; Venâncio Aires ;Centro;;;3;3;3;;1;620.000
 RS; Venâncio Aires ;Centro;;;3;2;2;;1;650.000
 RS; Venâncio Aires ;Centro;;;3;2;1;;1;679.000
 RS; Venâncio Aires ;Centro;;;4;3;2;;1;680.000
 RS; Venâncio Aires ;Centro;;462,00;4;3;4;;;690.000
 RS; Venâncio Aires ;Centro;;;3;1;3;;;720.000
 RS; Venâncio Aires ;Centro;;;3;2;1;;1;740.000
 RS; Venâncio Aires ;Centro;;605,00;;;;;;745.000
 RS; Venâncio Aires ;Parque do Chimarrão;;;3;3;4;;1;750.000
 RS; Lajeado ;Universitário;;;2;3;4;;1;790.000
 RS; Venâncio Aires ;Cidade Alta;;;3;2;3;;1;800.000
 RS; Venâncio Aires ;Cidade Alta;;;2;2;1;;1;815.000
